2026-06-30 13:32:35.975 14
2026-06-30 13:32:35.975 14
2026-06-30 13:32:35.975 13
2026-06-30 13:32:35.976 10
2026-06-30 13:32:35.976 18
2026-06-30 13:32:35.976 11
2026-06-30 13:32:35.976 10
2026-06-30 13:32:35.977 13
2026-06-30 13:32:35.977 13
2026-06-30 13:32:35.977 14
2026-06-30 13:32:35.977 14
2026-06-30 13:32:35.978 10
2026-06-30 13:32:35.978 12
2026-06-30 13:32:35.978 13
2026-06-30 13:32:35.978 16
2026-06-30 13:32:35.979 14
2026-06-30 13:32:35.979 14
2026-06-30 13:32:35.979 14
2026-06-30 13:32:35.979 13
2026-06-30 13:32:35.980 13
2026-06-30 13:32:35.980 11
2026-06-30 13:32:35.980 15
2026-06-30 13:32:35.980 16
2026-06-30 13:32:35.981 11
2026-06-30 13:32:35.981 14
2026-06-30 13:32:35.981 13
2026-06-30 13:32:35.982 15
2026-06-30 13:32:35.982 14
2026-06-30 13:32:35.982 16
2026-06-30 13:32:35.982 11
2026-06-30 13:32:35.983 14
2026-06-30 13:32:35.983 15
2026-06-30 13:32:35.983 13
2026-06-30 13:32:35.983 11
2026-06-30 13:32:35.984 15
2026-06-30 13:32:35.984 17
2026-06-30 13:32:35.984 13
2026-06-30 13:32:35.984 13
2026-06-30 13:32:35.985 13
2026-06-30 13:32:35.985 13
2026-06-30 13:32:35.985 15
2026-06-30 13:32:35.985 11
2026-06-30 13:32:35.986 13
2026-06-30 13:32:35.986 14
2026-06-30 13:32:35.986 14
2026-06-30 13:32:35.986 17
2026-06-30 13:32:35.987 15
2026-06-30 13:32:35.987 17
2026-06-30 13:32:35.987 13
2026-06-30 13:32:35.987 17
2026-06-30 13:32:35.989 14
2026-06-30 13:32:35.989 11
2026-06-30 13:32:35.989 13
2026-06-30 13:32:35.990 16
2026-06-30 13:32:35.990 16
2026-06-30 13:32:35.990 16
2026-06-30 13:32:35.990 14
2026-06-30 13:32:35.991 10
2026-06-30 13:32:35.991 15
2026-06-30 13:32:35.991 12
2026-06-30 13:32:35.991 11
2026-06-30 13:32:35.992 10
2026-06-30 13:32:35.992 17
2026-06-30 13:32:35.992 16
2026-06-30 13:32:35.992 13
2026-06-30 13:32:35.993 14
2026-06-30 13:32:35.993 13
2026-06-30 13:32:35.993 12
2026-06-30 13:32:35.993 14
2026-06-30 13:32:35.994 16
2026-06-30 13:32:35.994 17
2026-06-30 13:32:35.994 11
2026-06-30 13:32:35.994 13
2026-06-30 13:32:35.995 11
2026-06-30 13:32:35.995 12
2026-06-30 13:32:35.995 14
2026-06-30 13:32:35.995 12
2026-06-30 13:32:35.995 10
2026-06-30 13:32:35.996 15
2026-06-30 13:32:35.996 11
2026-06-30 13:32:35.996 16
2026-06-30 13:32:35.996 13
2026-06-30 13:32:35.997 14
2026-06-30 13:32:35.997 13
2026-06-30 13:32:35.997 15
2026-06-30 13:32:35.998 18
2026-06-30 13:32:35.998 15
2026-06-30 13:32:35.998 15
2026-06-30 13:32:35.998 13
2026-06-30 13:32:35.998 13
2026-06-30 13:32:35.999 11
2026-06-30 13:32:35.999 16
2026-06-30 13:32:35.999 11
2026-06-30 13:32:35.999 13
2026-06-30 13:32:36.000 13
2026-06-30 13:32:36.000 10
2026-06-30 13:32:36.000 19
2026-06-30 13:32:36.000 12
2026-06-30 13:32:36.001 10
2026-06-30 13:32:36.001 14
2026-06-30 13:32:36.001 16
2026-06-30 13:32:36.001 12
2026-06-30 13:32:36.002 13
2026-06-30 13:32:36.002 12
2026-06-30 13:32:36.002 14
2026-06-30 13:32:36.002 12
2026-06-30 13:32:36.003 14
2026-06-30 13:32:36.003 12
2026-06-30 13:32:36.003 14
2026-06-30 13:32:36.003 15
2026-06-30 13:32:36.004 12
2026-06-30 13:32:36.004 14
2026-06-30 13:32:36.004 14
2026-06-30 13:32:36.004 13
2026-06-30 13:32:36.005 15
2026-06-30 13:32:36.005 14
2026-06-30 13:32:36.005 14
2026-06-30 13:32:36.005 13
2026-06-30 13:32:36.006 12
2026-06-30 13:32:36.006 10
2026-06-30 13:32:36.006 14
2026-06-30 13:32:36.006 13
2026-06-30 13:32:36.007 14
2026-06-30 13:32:36.007 11
2026-06-30 13:32:36.007 14
2026-06-30 13:32:36.007 16
2026-06-30 13:32:36.008 12
2026-06-30 13:32:36.008 13
2026-06-30 13:32:36.008 15
2026-06-30 13:32:36.008 14
2026-06-30 13:32:36.008 17
2026-06-30 13:32:36.009 14
2026-06-30 13:32:36.009 15
2026-06-30 13:32:36.009 15
2026-06-30 13:32:36.009 12
2026-06-30 13:32:36.010 12
2026-06-30 13:32:36.010 11
2026-06-30 13:32:36.010 16
2026-06-30 13:32:36.010 14
2026-06-30 13:32:36.010 14
2026-06-30 13:32:36.011 11
2026-06-30 13:32:36.011 14
2026-06-30 13:32:36.011 11
2026-06-30 13:32:36.011 14
2026-06-30 13:32:36.012 11
2026-06-30 13:32:36.012 15
2026-06-30 13:32:36.012 14
2026-06-30 13:32:36.012 13
2026-06-30 13:32:36.012 12
2026-06-30 13:32:36.013 19
2026-06-30 13:32:36.013 10
2026-06-30 13:32:36.013 10
2026-06-30 13:32:36.013 13
2026-06-30 13:32:36.013 15
2026-06-30 13:32:36.014 12
2026-06-30 13:32:36.014 14
2026-06-30 13:32:36.014 13
2026-06-30 13:32:36.014 11
2026-06-30 13:32:36.015 13
2026-06-30 13:32:36.015 16
2026-06-30 13:32:36.015 16
2026-06-30 13:32:36.015 16
2026-06-30 13:32:36.015 17
2026-06-30 13:32:36.016 12
2026-06-30 13:32:36.016 17
2026-06-30 13:32:36.016 16
2026-06-30 13:32:36.016 18
2026-06-30 13:32:36.017 14
2026-06-30 13:32:36.017 12
2026-06-30 13:32:36.017 13
2026-06-30 13:32:36.018 11
2026-06-30 13:32:36.018 11
2026-06-30 13:32:36.019 15
2026-06-30 13:32:36.019 14
2026-06-30 13:32:36.019 12
2026-06-30 13:32:36.019 13
2026-06-30 13:32:36.020 13
2026-06-30 13:32:36.020 11
2026-06-30 13:32:36.020 13
2026-06-30 13:32:36.020 13
2026-06-30 13:32:36.020 11
2026-06-30 13:32:36.021 15
2026-06-30 13:32:36.021 11
2026-06-30 13:32:36.021 14
2026-06-30 13:32:36.021 14
2026-06-30 13:32:36.021 13
2026-06-30 13:32:36.022 15
2026-06-30 13:32:36.022 13
2026-06-30 13:32:36.022 17
2026-06-30 13:32:36.022 15
2026-06-30 13:32:36.022 16
2026-06-30 13:32:36.023 13
2026-06-30 13:32:36.023 15
2026-06-30 13:32:36.023 12
2026-06-30 13:32:36.023 15
2026-06-30 13:32:36.023 12
2026-06-30 13:32:36.024 10
2026-06-30 13:32:36.024 16
2026-06-30 13:32:36.024 15
2026-06-30 13:32:36.024 15
2026-06-30 13:32:36.024 12
2026-06-30 13:32:36.025 15
2026-06-30 13:32:36.025 15
2026-06-30 13:32:36.025 12
2026-06-30 13:32:36.025 13
2026-06-30 13:32:36.025 10
2026-06-30 13:32:36.026 11
2026-06-30 13:32:36.026 15
2026-06-30 13:32:36.026 16
2026-06-30 13:32:36.026 11
2026-06-30 13:32:36.026 11
2026-06-30 13:32:36.027 17
2026-06-30 13:32:36.027 17
2026-06-30 13:32:36.027 14
2026-06-30 13:32:36.027 13
2026-06-30 13:32:36.027 13
2026-06-30 13:32:36.027 15
2026-06-30 13:32:36.028 17
2026-06-30 13:32:36.028 12
2026-06-30 13:32:36.028 10
2026-06-30 13:32:36.028 11
2026-06-30 13:32:36.028 15
2026-06-30 13:32:36.029 14
2026-06-30 13:32:36.029 14
2026-06-30 13:32:36.029 14
2026-06-30 13:32:36.029 12
2026-06-30 13:32:36.029 11
2026-06-30 13:32:36.029 15
2026-06-30 13:32:36.030 14
2026-06-30 13:32:35.763
2026-06-30 13:32:35.779 10
2026-06-30 13:32:35.779 14
2026-06-30 13:32:35.779 12
2026-06-30 13:32:35.780 15
2026-06-30 13:32:35.780 10
2026-06-30 13:32:35.780 10
2026-06-30 13:32:35.780 14
2026-06-30 13:32:35.781 12
2026-06-30 13:32:35.781 12
2026-06-30 13:32:35.781 11
2026-06-30 13:32:35.782 16
2026-06-30 13:32:35.782 14
2026-06-30 13:32:35.782 14
2026-06-30 13:32:35.782 11
2026-06-30 13:32:35.783 11
2026-06-30 13:32:35.783 13
2026-06-30 13:32:35.783 11
2026-06-30 13:32:35.783 10
2026-06-30 13:32:35.784 11
2026-06-30 13:32:35.784 16
2026-06-30 13:32:35.784 10
